0xff810da8,memShow_FW
0xff813f38,strncpy
0xff813f74,strncmp
0xff813fc0,strchr
0xff813fe4,strrchr
0xff81400c,strlen
0xff81400c,strlen_FW
0xff8140dc,malloc
0xff814138,free
0xff815eac,drysh_FW
0xff815f28,err_init_task
0xff816078,task_ClockSave
0xff81a070,GetMemInfo
0xff81a8e0,open
0xff81a990,close
0xff81ab78,Read
0xff81ab78,read
0xff81ab78,Read_FW
0xff81e54c,RegisterInterruptHandler
0xff81e570,UnregisterInterruptHandler
0xff81e588,GetSRAndDisableInterrupt
0xff81e58c,SetSR
0xff81e5ac,EnableInterrupt
0xff81e5b4,CreateTask
0xff81e5b4,CreateTask_FW
0xff81e844,ExitTask
0xff81e844,ExitTask_FW
0xff81e88c,DebugAssert
0xff81ef94,RotateConsoleZOder_FW
0xff81f1a4,CPrintf_FW
0xff81f200,CPutChar_FW
0xff81f22c,GetCh_FW
0xff81f27c,GetStringWithPrompt_FW
0xff81f2dc,OpenConsole_FW
0xff81f448,CloseConsole_FW
0xff81f804,task_Startup
0xff81f964,_uartr_req
0xff81f9f4,task_UartLog
0xff81fb48,StartRedirectUART_FW
0xff82030c,sprintf_FW
0xff820350,vsprintf
0xff82038c,strcpy
0xff82038c,strcpy_FW
0xff8203a4,j_strcmp_FW
0xff8203a4,strcmp
0xff8203cc,strcmp_FW
0xff8203e8,memcmp
0xff8203e8,memcmp_FW
0xff8204e4,srand
0xff8204f0,rand
0xff831b18,task_TempCheck
0xff831e04,GetVBatVoltage_FW
0xff831e04,VbattGet
0xff831e04,VbattGet_FW
0xff832ecc,kbd_p2_f
0xff8331fc,task_PhySw
0xff83350c,GetSwitchStatus_FW
0xff833578,GetSDDetect_FW
0xff833580,GetSDProtect
0xff833580,GetSDProtect_FW
0xff83359c,GetDialEventId_FW
0xff8335a0,GetBatteryCoverClose_FW
0xff8335a8,kbd_read_keys
0xff833624,kbd_p1_f
0xff833630,kbd_p1_f_cont
0xff83444c,EngDrvOut
0xff834464,EngDrvIn
0xff83446c,EngDrvRead
0xff834480,EngDrvBits
0xff834d00,RenameFile_Fut
0xff834d94,DeleteFile_Fut
0xff834e08,MakeDirectory_Fut
0xff834e78,DeleteDirectory_Fut
0xff834ed0,Fopen_Fut
0xff834ed0,Fopen_Fut_FW
0xff834f10,Fclose_Fut
0xff834f10,Fclose_Fut_FW
0xff834fbc,Fread_Fut
0xff834fbc,Fread_Fut_FW
0xff835010,Fwrite_Fut
0xff835010,Fwrite_Fut_FW
0xff835064,Fgets_Fut
0xff8350b0,Fseek_Fut
0xff8350b0,Fseek_Fut_FW
0xff8350fc,Feof_Fut
0xff835138,Fflush_Fut
0xff8353b0,Open
0xff8353b0,Open_FW
0xff835408,Close
0xff835408,Close_FW
0xff835494,j_Read_FW
0xff835498,Write
0xff835498,write
0xff835498,Write_FW
0xff835524,Lseek
0xff835524,lseek
0xff835524,Lseek_FW
0xff835560,stat
0xff835694,SetFileTimeStamp
0xff8356d8,SetFileAttributes
0xff83587c,mkdir
0xff8358cc,j_StartCameraLog_FW
0xff8358d0,j_ShowCameraLog_FW
0xff8358d4,j_ShowCameraLogInfo_FW
0xff8358d8,j_StopCameraLog_FW
0xff8358dc,j_PutsCameraLogEvent_FW
0xff8358e0,OpLog.Create_FW
0xff835944,j_NewTaskShell_FW
0xff835948,j_ExMem.View_FW
0xff83594c,j_ExMem.AllocUncacheable_FW
0xff835950,j_ExMem.FreeUncacheable_FW
0xff835954,j_ExMem.AllocCacheable_FW
0xff835958,j_ExMem.FreeCacheable_FW
0xff83595c,ExMem_FW
0xff836690,PT_GetDigitalZoomPosition_FW
0xff8368f0,DoAFLock
0xff836928,UnlockAF
0xff836ae0,EnterToCompensationEVF
0xff836b24,ExitFromCompensationEVF
0xff836b78,DoAELock
0xff836b9c,UnlockAE
0xff837df4,CreateMessageQueue
0xff837e78,DeleteMessageQueue
0xff837f08,ReceiveMessageQueue
0xff837fd0,TryReceiveMessageQueue
0xff838054,PostMessageQueue
0xff83810c,TryPostMessageQueue
0xff83814c,GetNumberOfPostedMessages
0xff8381b8,CreateBinarySemaphore
0xff838220,CreateCountingSemaphore
0xff838220,CreateCountingSemaphore_FW
0xff838278,DeleteSemaphore
0xff838278,DeleteSemaphore_FW
0xff8382d0,TryTakeSemaphore
0xff838324,TakeSemaphore
0xff838324,TakeSemaphore_FW
0xff8383f4,GiveSemaphore
0xff8383f4,GiveSemaphore_FW
0xff83842c,GetSemaphoreValue
0xff83865c,SleepTask
0xff83865c,SleepTask_FW
0xff83871c,CreateTaskStrictly
0xff838750,CreateMessageQueueStrictly
0xff838774,CreateEventFlagStrictly
0xff838798,CreateBinarySemaphoreStrictly
0xff8387bc,CreateCountingSemaphoreStrictly
0xff8387e0,CreateRecursiveLockStrictly
0xff838804,TakeSemaphoreStrictly
0xff838830,ReceiveMessageQueueStrictly
0xff83885c,PostMessageQueueStrictly
0xff838888,WaitForAnyEventFlagStrictly
0xff8388b4,WaitForAllEventFlagStrictly
0xff8388e0,AcquireRecursiveLockStrictly
0xff8389d8,AllocateUncacheableMemory
0xff838a18,FreeUncacheableMemory
0xff838c84,_GetSystemTime
0xff838dbc,SetTimerAfter
0xff838e3c,SetTimerWhen
0xff838ea0,CancelTimer
0xff839fac,task_Bye
0xff83a130,Restart
0xff83a874,task_StartupImage
0xff83df94,memcpy
0xff83df94,memcpy_FW
0xff83e078,strtolx
0xff83e274,strtol
0xff844254,ExpCtrlTool_StartContiAE
0xff84432c,ExpCtrlTool_StopContiAE
0xff8470b0,task_AFTask
0xff84a1e4,task__ImageSensorTask
0xff853280,DispCon_ShowColorBar_FW
0xff85333c,DispCon_ShowFiveStep_FW
0xff8534d0,DispCon_ShowWhiteChart_FW
0xff853524,DispCon_ShowBlackChart_FW
0xff853540,DispCon_ShowBitmapColorBar
0xff853540,DispCon_ShowBitmapColorBar_FW
0xff8535e4,DispCon_ShowCustomColorBar_FW
0xff85366c,DispCon_SetDisplayType_FW
0xff85368c,DispCon_ShowColorChart_FW
0xff8536b0,DispCon_ShowWhiteLine_FW
0xff8537d0,DispCon_TurnOnDisplay_FW
0xff8537d0,TurnOnDisplay
0xff8537e0,DispCon_TurnOffDisplay_FW
0xff8537e0,TurnOffDisplay
0xff8537f0,DispCon_TurnOnBackLight_FW
0xff853800,DispCon_TurnOffBackLight_FW
0xff853810,DispCon_SetMaxBackLightBrightness_FW
