0xff810da8,memShow_FW
0xff813f38,strncpy
0xff813f74,strncmp
0xff813fc0,strchr
0xff813fe4,strrchr
0xff81400c,strlen
0xff81400c,strlen_FW
0xff8140dc,malloc
0xff814138,free
0xff815eac,drysh_FW
0xff815f28,err_init_task
0xff816078,task_ClockSave
0xff81a070,GetMemInfo
0xff81a8e0,open
0xff81a990,close
0xff81ab78,Read
0xff81ab78,read
0xff81ab78,Read_FW
0xff81e54c,RegisterInterruptHandler
0xff81e570,UnregisterInterruptHandler
0xff81e588,GetSRAndDisableInterrupt
0xff81e58c,SetSR
0xff81e5ac,EnableInterrupt
0xff81e5b4,CreateTask
0xff81e5b4,CreateTask_FW
0xff81e844,ExitTask
0xff81e844,ExitTask_FW
0xff81e88c,DebugAssert
0xff81ef94,RotateConsoleZOder_FW
0xff81f1a4,CPrintf_FW
0xff81f200,CPutChar_FW
0xff81f22c,GetCh_FW
0xff81f27c,GetStringWithPrompt_FW
0xff81f2dc,OpenConsole_FW
0xff81f448,CloseConsole_FW
0xff81f804,task_Startup
0xff81f968,_uartr_req
0xff81f9f8,task_UartLog
0xff81fb4c,StartRedirectUART_FW
0xff820310,sprintf_FW
0xff820354,vsprintf
0xff820390,strcpy
0xff820390,strcpy_FW
0xff8203a8,j_strcmp_FW
0xff8203a8,strcmp
0xff8203d0,strcmp_FW
0xff8203ec,memcmp
0xff8203ec,memcmp_FW
0xff8204e8,srand
0xff8204f4,rand
0xff831b1c,task_TempCheck
0xff831e08,GetVBatVoltage_FW
0xff831e08,VbattGet
0xff831e08,VbattGet_FW
0xff832ec0,kbd_p2_f
0xff8331f0,task_PhySw
0xff8334e8,GetSwitchStatus_FW
0xff833554,GetSDDetect_FW
0xff83355c,GetSDProtect
0xff83355c,GetSDProtect_FW
0xff833578,GetDialEventId_FW
0xff83357c,GetBatteryCoverClose_FW
0xff833584,kbd_read_keys
0xff833600,kbd_p1_f
0xff83360c,kbd_p1_f_cont
0xff834428,EngDrvOut
0xff834440,EngDrvIn
0xff834448,EngDrvRead
0xff83445c,EngDrvBits
0xff8346dc,DisplayFactoryMode_FW
0xff8346e8,UndisplayFactoryMode_FW
0xff8348e4,ClearFactoryMode_FW
0xff83491c,SetFactoryMode_FW
0xff834954,ClearDUIDFixFlag_FW
0xff834a00,SetDUIDFixFlag_FW
0xff834a3c,IsFactoryMode_FW
0xff834a6c,IsDUIDFixFlag_FW
0xff834aac,StartFactoryModeController_FW
0xff8352a8,RenameFile_Fut
0xff83533c,DeleteFile_Fut
0xff8353b0,MakeDirectory_Fut
0xff835420,DeleteDirectory_Fut
0xff835478,Fopen_Fut
0xff835478,Fopen_Fut_FW
0xff8354b8,Fclose_Fut
0xff8354b8,Fclose_Fut_FW
0xff835564,Fread_Fut
0xff835564,Fread_Fut_FW
0xff8355b8,Fwrite_Fut
0xff8355b8,Fwrite_Fut_FW
0xff83560c,Fgets_Fut
0xff835658,Fseek_Fut
0xff835658,Fseek_Fut_FW
0xff8356a4,Feof_Fut
0xff8356e0,Fflush_Fut
0xff835958,Open
0xff835958,Open_FW
0xff8359b0,Close
0xff8359b0,Close_FW
0xff835a3c,j_Read_FW
0xff835a40,Write
0xff835a40,write
0xff835a40,Write_FW
0xff835acc,Lseek
0xff835acc,lseek
0xff835acc,Lseek_FW
0xff835b08,stat
0xff835c3c,SetFileTimeStamp
0xff835c80,SetFileAttributes
0xff835e24,mkdir
0xff835e74,j_StartCameraLog_FW
0xff835e78,j_ShowCameraLog_FW
0xff835e7c,j_ShowCameraLogInfo_FW
0xff835e80,j_StopCameraLog_FW
0xff835e84,j_PutsCameraLogEvent_FW
0xff835e88,OpLog.Create_FW
0xff835eec,j_NewTaskShell_FW
0xff835ef0,j_ExMem.View_FW
0xff835ef4,j_ExMem.AllocUncacheable_FW
0xff835ef8,j_ExMem.FreeUncacheable_FW
0xff835efc,j_ExMem.AllocCacheable_FW
0xff835f00,j_ExMem.FreeCacheable_FW
0xff835f04,ExMem_FW
0xff836cc0,PT_GetDigitalZoomPosition_FW
0xff837158,DoAFLock
0xff837190,UnlockAF
0xff8373d8,EnterToCompensationEVF
0xff83741c,ExitFromCompensationEVF
0xff8374e0,DoAELock
0xff837504,UnlockAE
0xff838838,CreateMessageQueue
0xff8388bc,DeleteMessageQueue
0xff83894c,ReceiveMessageQueue
0xff838a14,TryReceiveMessageQueue
0xff838a98,PostMessageQueue
0xff838b50,TryPostMessageQueue
0xff838b90,GetNumberOfPostedMessages
0xff838bfc,CreateBinarySemaphore
0xff838c64,CreateCountingSemaphore
0xff838c64,CreateCountingSemaphore_FW
0xff838cbc,DeleteSemaphore
0xff838cbc,DeleteSemaphore_FW
0xff838d14,TryTakeSemaphore
0xff838d68,TakeSemaphore
0xff838d68,TakeSemaphore_FW
0xff838e38,GiveSemaphore
0xff838e38,GiveSemaphore_FW
0xff838e70,GetSemaphoreValue
0xff8390a0,SleepTask
0xff8390a0,SleepTask_FW
0xff839160,CreateTaskStrictly
0xff839194,CreateMessageQueueStrictly
0xff8391b8,CreateEventFlagStrictly
0xff8391dc,CreateBinarySemaphoreStrictly
0xff839200,CreateCountingSemaphoreStrictly
0xff839224,CreateRecursiveLockStrictly
0xff839248,TakeSemaphoreStrictly
0xff839274,ReceiveMessageQueueStrictly
0xff8392a0,PostMessageQueueStrictly
0xff8392cc,WaitForAnyEventFlagStrictly
0xff8392f8,WaitForAllEventFlagStrictly
0xff839324,AcquireRecursiveLockStrictly
0xff83941c,AllocateUncacheableMemory
0xff83945c,FreeUncacheableMemory
0xff8396c8,_GetSystemTime
0xff839800,SetTimerAfter
0xff839880,SetTimerWhen
0xff8398e4,CancelTimer
0xff83a9ec,task_Bye
0xff83ab70,Restart
0xff83b41c,task_StartupImage
0xff83ea1c,memcpy
0xff83ea1c,memcpy_FW
0xff83eb00,strtolx
0xff83ecfc,strtol
0xff844ce0,ExpCtrlTool_StartContiAE
0xff844db8,ExpCtrlTool_StopContiAE
0xff846830,task_WBCtrl
0xff849508,task_AFTask
0xff84cc64,task__ImageSensorTask
0xff8509d4,LiveImageTool.GetDzoomPosition_FW
0xff850b08,GetVRAMHPixelsSize
0xff850b08,GetVRAMHPixelsSize_FW
0xff850b14,GetVRAMVPixelsSize
0xff850b14,GetVRAMVPixelsSize_FW
0xff850b20,GetMovieJpegVRAMHPixelsSize_FW
0xff850b2c,GetMovieJpegVRAMVPixelsSize_FW
